#  Omega_m  n_s     A_s    h     f_phi
2.874326646805073771e-01 8.857000000000000428e-01 3.178999999999999879e-09 6.761333333333332529e-01 6.000360000000000416e-02
2.759858641550804736e-01 1.044000000000000039e+00 1.790999999999999916e-09 7.250666666666666371e-01 5.599800000000000333e-01
2.829290054573885826e-01 8.601999999999999647e-01 3.104000000000000035e-09 6.981333333333332725e-01 3.799540000000000139e-01
3.001930324793439242e-01 1.100000000000000089e+00 2.315999999999999861e-09 6.565333333333333021e-01 4.000440000000000107e-01
2.966276355943748833e-01 1.054000000000000048e+00 1.940999999999999811e-09 6.957333333333333147e-01 2.000000000000000042e-02
2.932498911770358152e-01 1.094999999999999973e+00 2.915999999999999857e-09 7.079999999999999627e-01 7.799899999999999611e-01
2.943758059828154861e-01 9.366999999999999771e-01 1.716000000000000071e-09 6.197333333333334693e-01 1.199599999999999972e-01
2.885585794862870479e-01 9.673000000000000487e-01 2.241000000000000016e-09 7.275999999999999135e-01 9.800079999999999902e-01
3.024448620909032659e-01 8.754999999999999449e-01 1.528000000000000100e-09 7.153333333333333766e-01 1.800339999999999996e-01
2.818030906516089118e-01 1.068999999999999950e+00 2.766000000000000168e-09 7.127999999999999892e-01 6.600380000000000136e-01
3.253384631417571282e-01 9.622000000000000552e-01 2.690999999999999910e-09 6.884000000000000119e-01 1.600419999999999898e-01
3.013189472851235950e-01 9.417999999999999705e-01 1.903000000000000149e-09 6.785333333333332106e-01 9.200319999999999609e-01
2.898721467596967472e-01 1.002999999999999892e+00 2.654000000000000141e-09 6.222666666666666346e-01 5.999640000000000528e-01
2.840549202631683090e-01 9.570999999999999508e-01 1.490999999999999918e-09 6.369333333333332403e-01 5.000040000000000040e-01
2.977535504001546096e-01 9.724000000000000421e-01 3.065999999999999959e-09 6.296000000000000485e-01 7.000219999999999221e-01
3.069485213140221158e-01 1.048999999999999932e+00 2.128999999999999989e-09 6.173333333333334005e-01 7.400060000000000526e-01
2.771117789608601445e-01 8.703999999999999515e-01 2.578999999999999883e-09 6.393333333333333091e-01 7.999820000000000819e-01
2.793636085724195417e-01 1.022999999999999909e+00 1.602999999999999945e-09 6.858666666666666245e-01 4.400279999999999747e-01
2.955017207885952124e-01 8.652999999999999581e-01 2.203999999999999834e-09 6.662666666666665627e-01 5.399880000000000235e-01
